article_number,product_name,product_description,category,subcategory,price,currency,width,height,depth,main_material,color,availability,stock_quantity,delivery_time,image_url,additional_images,weight,certifications,tags
904.066.88,METOD Meuble bas 2 portes,"Meuble bas de cuisine avec 2 portes, structure blanche",furniture,base_cabinet,135,EUR,80,80,60,Panneau particules,Blanc,In stock,245,3-5 jours,https://ikea.com/images/metod-base-2door.jpg,"https://ikea.com/images/metod-detail1.jpg,https://ikea.com/images/metod-detail2.jpg",28.5,FSC;PEFC,cuisine;meuble bas;moderne
504.178.22,METOD Meuble haut porte vitrée,"Meuble haut avec porte en verre, idéal pour exposer la vaisselle",furniture,wall_cabinet,95,EUR,60,80,37,Panneau particules,Blanc,In stock,180,3-5 jours,https://ikea.com/images/metod-wall-glass.jpg,"https://ikea.com/images/metod-wall-detail.jpg",15.2,FSC,cuisine;meuble haut;vitré
092.272.67,METOD Élément bas angle,"Meuble d'angle optimisé avec plateau tournant",furniture,corner_cabinet,175,EUR,88,80,88,Panneau particules,Blanc,Low stock,45,5-7 jours,https://ikea.com/images/metod-corner.jpg,https://ikea.com/images/metod-corner-interior.jpg,35.8,FSC,cuisine;angle;optimisation
803.355.45,KALLARP Porte,"Porte de cuisine haute brillance, compatible METOD",furniture,door,45,EUR,60,80,2,Panneau fibres haute densité,Rouge brillant,In stock,520,2-4 jours,https://ikea.com/images/kallarp-red.jpg,"https://ikea.com/images/kallarp-red-close.jpg,https://ikea.com/images/kallarp-installed.jpg",3.2,FSC,porte;façade;brillant
704.206.36,BODBYN Porte,"Porte de style traditionnel avec cadre",furniture,door,55,EUR,60,80,2,Panneau fibres,Gris,In stock,380,2-4 jours,https://ikea.com/images/bodbyn-grey.jpg,https://ikea.com/images/bodbyn-detail.jpg,3.8,FSC,porte;traditionnel;cadre
503.888.91,RINGHULT Porte,"Porte haute brillance blanc, design épuré",furniture,door,40,EUR,40,80,2,Panneau fibres,Blanc brillant,In stock,650,2-4 jours,https://ikea.com/images/ringhult-white.jpg,https://ikea.com/images/ringhult-corner.jpg,2.1,FSC,porte;moderne;brillant
292.022.04,EKBACKEN Plan de travail,"Plan de travail effet béton, stratifié double face",furniture,countertop,89,EUR,186,2.8,63.5,Panneau particules stratifié,Gris clair effet béton,In stock,125,5-7 jours,https://ikea.com/images/ekbacken-concrete.jpg,"https://ikea.com/images/ekbacken-edge.jpg,https://ikea.com/images/ekbacken-kitchen.jpg",18.5,FSC,plan de travail;béton;moderne
903.650.45,KARLBY Plan de travail,"Plan de travail aspect noyer, stratifié",furniture,countertop,149,EUR,186,3.8,63.5,Panneau particules stratifié,Noyer,In stock,85,5-7 jours,https://ikea.com/images/karlby-walnut.jpg,https://ikea.com/images/karlby-detail.jpg,22.3,FSC,plan de travail;bois;noyer
102.920.93,SÄLJAN Plan de travail,"Plan de travail effet chêne, résistant à l'humidité",furniture,countertop,79,EUR,186,2.8,63.5,Panneau particules stratifié,Effet chêne,In stock,165,3-5 jours,https://ikea.com/images/saljan-oak.jpg,https://ikea.com/images/saljan-installed.jpg,17.8,FSC,plan de travail;chêne;classique
604.917.23,HAVSEN Évier 1 bac,"Évier à encastrer, 1 grand bac en céramique blanche",furniture,sink,199,EUR,53,19,50,Céramique,Blanc,In stock,95,7-10 jours,https://ikea.com/images/havsen-single.jpg,"https://ikea.com/images/havsen-detail.jpg,https://ikea.com/images/havsen-installed.jpg",22.0,,évier;céramique;simple bac
405.003.67,VATTUDALEN Évier 2 bacs,"Évier inox avec 2 bacs, comprend égouttoir intégré",furniture,sink,279,EUR,69,19,50,Acier inoxydable,Inox,In stock,72,7-10 jours,https://ikea.com/images/vattudalen-double.jpg,https://ikea.com/images/vattudalen-closeup.jpg,15.5,,évier;inox;double bac
303.847.91,ALESKAR Mitigeur cuisine,"Mitigeur avec bec haut, finition chromée",furniture,faucet,69,EUR,23,31,5,Laiton chromé,Chrome,In stock,280,3-5 jours,https://ikea.com/images/aleskar-chrome.jpg,https://ikea.com/images/aleskar-side.jpg,1.8,CE,robinet;chrome;moderne
104.692.35,ELVERDAM Mitigeur cuisine,"Mitigeur avec douchette extractible",furniture,faucet,129,EUR,25,35,5,Laiton chromé,Chrome,In stock,165,5-7 jours,https://ikea.com/images/elverdam-spray.jpg,"https://ikea.com/images/elverdam-detail.jpg,https://ikea.com/images/elverdam-extended.jpg",2.3,CE,robinet;douchette;chrome
092.699.16,UTRUSTA Charnière à amortisseur,"Charnière avec fermeture amortie, lot de 2",furniture,hardware,8,EUR,,,,,Acier/Plastique,Acier,In stock,1850,2-3 jours,https://ikea.com/images/utrusta-hinge.jpg,https://ikea.com/images/utrusta-installed.jpg,0.2,CE,quincaillerie;charnière;amortisseur
503.277.67,UTRUSTA Pied réglable,"Pied réglable pour meuble bas, hauteur 8-11 cm, lot de 4",furniture,hardware,12,EUR,,,11,,,Plastique/Acier,Noir,In stock,950,2-3 jours,https://ikea.com/images/utrusta-leg.jpg,https://ikea.com/images/utrusta-leg-adjust.jpg,0.8,,quincaillerie;pied;réglable
203.887.45,UTRUSTA Barre suspension,"Rail de suspension pour meubles hauts, 220 cm",furniture,hardware,15,EUR,220,,,,,Acier galvanisé,Galvanisé,In stock,420,2-3 jours,https://ikea.com/images/utrusta-rail.jpg,https://ikea.com/images/utrusta-rail-installed.jpg,1.5,,quincaillerie;suspension;rail
704.166.99,LYSEKIL Crédence,"Crédence adhésive double face, aspect carreaux blancs",furniture,backsplash,29,EUR,119.6,55,0.1,Stratifié,Blanc,In stock,340,3-5 jours,https://ikea.com/images/lysekil-white.jpg,https://ikea.com/images/lysekil-kitchen.jpg,1.2,,crédence;carrelage;adhesive
804.582.33,SIBBARP Crédence sur mesure,"Crédence stratifiée à découper, effet marbre blanc",furniture,backsplash,69,EUR,186,10,1.2,Stratifié,Marbre blanc,In stock,135,5-7 jours,https://ikea.com/images/sibbarp-marble.jpg,"https://ikea.com/images/sibbarp-detail.jpg,https://ikea.com/images/sibbarp-edge.jpg",4.5,FSC,crédence;marbre;sur mesure
404.771.88,KUNGSFORS Étagère murale,"Étagère murale en acier inox, 60 cm",furniture,shelf,35,EUR,60,31,31,Acier inoxydable,Inox,In stock,280,3-5 jours,https://ikea.com/images/kungsfors-shelf.jpg,https://ikea.com/images/kungsfors-installed.jpg,2.8,,étagère;inox;murale
705.124.33,KUNGSFORS Barre aimantée,"Barre aimantée pour couteaux, 56 cm",furniture,accessory,15,EUR,56,4,4,Acier inoxydable,Inox,In stock,520,2-4 jours,https://ikea.com/images/kungsfors-magnetic.jpg,https://ikea.com/images/kungsfors-knives.jpg,0.6,,rangement;magnétique;couteaux
493.240.88,VARIERA Organiseur tiroir,"Organiseur modulable pour couverts, plastique blanc",furniture,accessory,8,EUR,32,5,50,Plastique,Blanc,In stock,1250,2-3 jours,https://ikea.com/images/variera-cutlery.jpg,https://ikea.com/images/variera-drawer.jpg,0.4,,rangement;tiroir;couverts
104.355.71,MAXIMERA Tiroir haut,"Tiroir avec fermeture amortie, pour meuble 60 cm",furniture,drawer,50,EUR,56.8,19.9,50,Panneau fibres/Acier,Blanc,In stock,175,5-7 jours,https://ikea.com/images/maximera-high.jpg,https://ikea.com/images/maximera-slide.jpg,8.5,,tiroir;amortisseur;60cm
304.356.02,MAXIMERA Tiroir bas,"Tiroir bas avec fermeture amortie, pour meuble 80 cm",furniture,drawer,60,EUR,76.8,9.9,50,Panneau fibres/Acier,Blanc,In stock,145,5-7 jours,https://ikea.com/images/maximera-low.jpg,https://ikea.com/images/maximera-80.jpg,9.8,,tiroir;amortisseur;80cm
604.490.77,RATIONELL Poubelle tri,"Poubelle de tri encastrable, 2 bacs",furniture,accessory,45,EUR,28,36,51,Plastique,Gris,In stock,220,5-7 jours,https://ikea.com/images/rationell-bin.jpg,"https://ikea.com/images/rationell-open.jpg,https://ikea.com/images/rationell-installed.jpg",3.2,,poubelle;tri;encastrable
805.008.92,UTRUSTA Éclairage LED plan travail,"Réglette LED avec détecteur de mouvement, 60 cm",furniture,lighting,39,EUR,60,2.5,3.5,Aluminium/Plastique,Blanc,In stock,385,3-5 jours,https://ikea.com/images/utrusta-led.jpg,https://ikea.com/images/utrusta-lit.jpg,0.5,CE;RoHS,éclairage;LED;détecteur
205.339.44,OMLOPP Spot LED,"Spot LED encastrable pour meuble haut, blanc chaud",furniture,lighting,12,EUR,6.8,2.2,6.8,Aluminium,Blanc,In stock,680,2-4 jours,https://ikea.com/images/omlopp-spot.jpg,https://ikea.com/images/omlopp-installed.jpg,0.15,CE;RoHS,éclairage;LED;spot
093.876.55,ANSLUTA Transformateur LED,"Transformateur pour éclairage LED, 30W",furniture,lighting,18,EUR,16,3.5,4.5,Plastique,Blanc,In stock,420,2-3 jours,https://ikea.com/images/ansluta-transformer.jpg,https://ikea.com/images/ansluta-connect.jpg,0.3,CE,transformateur;LED;30W
404.018.77,TINGSRYD Porte,"Porte effet bois noir, compatible METOD",furniture,door,38,EUR,60,80,2,Panneau fibres,Noir effet bois,In stock,445,2-4 jours,https://ikea.com/images/tingsryd-black.jpg,https://ikea.com/images/tingsryd-detail.jpg,3.5,FSC,porte;noir;bois
704.228.91,VEDDINGE Porte,"Porte blanc mat, design minimaliste",furniture,door,35,EUR,60,80,2,Panneau fibres,Blanc,In stock,580,2-4 jours,https://ikea.com/images/veddinge-white.jpg,https://ikea.com/images/veddinge-kitchen.jpg,3.0,FSC,porte;blanc;minimaliste
204.556.39,KUNGSBACKA Porte,"Porte anthracite mat, fabriquée à partir de bouteilles PET recyclées",furniture,door,70,EUR,60,80,2,Panneau fibres recyclé,Anthracite,In stock,285,3-5 jours,https://ikea.com/images/kungsbacka-anthracite.jpg,"https://ikea.com/images/kungsbacka-detail.jpg,https://ikea.com/images/kungsbacka-eco.jpg",3.3,FSC;Recyclé,porte;recyclé;écologique
